WEEK,STATION,REMOTE,TOTAL
2020-07-18,WHITEHALL STREET              ,R001,25273.0
2020-07-18,CYPRESS HILLS                 ,R003,2774.0
2020-07-18,75TH STREET & ELDERTS LANE    ,R004,7007.0
2020-07-18,85TH STREET & FOREST PKWAY    ,R005,7535.0
2020-07-18,WOODHAVEN BOULEVARD           ,R006,8368.0
2020-07-18,104TH STREET                  ,R007,5201.0
2020-07-18,111TH STREET                  ,R008,3767.0
2020-07-18,121ST STREET                  ,R009,3759.0
2020-07-18,42ND STREET & 8TH AVENUE      ,R010,28050.0
2020-07-18,42ND STREET & 8TH AVENUE      ,R011,77724.0
2020-07-18,34TH STREET & 8TH AVENUE      ,R012,55286.0
2020-07-18,34TH STREET & 8TH AVENUE      ,R013,16860.0
2020-07-18,FULTON STREET                 ,R014,54662.0
2020-07-18,FIFTH AVENUE                  ,R015,18771.0
2020-07-18,LEXINGTON AVENUE              ,R016,5423.0
2020-07-18,LEXINGTON AVENUE              ,R017,30413.0
2020-07-18,ROOSEVELT AVE/JACKSON HTS     ,R018,101324.0
2020-07-18,179TH STREET & HILLSIDE AVE   ,R019,32071.0
2020-07-18,47-50 STREETS/ROCKEFELLER     ,R020,52019.0
2020-07-18,42ND STREET & 6TH AVENUE      ,R021,34911.0
2020-07-18,34TH STREET & 6TH AVENUE      ,R022,76292.0
2020-07-18,34TH STREET & 6TH AVENUE      ,R023,48701.0
2020-07-18,SUTPHIN BOULEVARD             ,R024,34073.0
2020-07-18,JAMAICA CENTER-PARSONS BLVD   ,R025,56636.0
2020-07-18,WALL STREET                   ,R027,14806.0
2020-07-18,FULTON & WILLIAM STREETS      ,R028,22696.0
2020-07-18,PARK PLACE                    ,R029,33168.0
2020-07-18,CHAMBERS STREET               ,R030,12572.0
2020-07-18,34TH STREET & 7TH AVENUE      ,R031,27172.0
2020-07-18,42ND STREET/TIMES SQUARE      ,R032,36150.0
2020-07-18,42ND STREET/TIMES SQUARE      ,R033,38283.0
2020-07-18,125TH STREET & BROADWAY       ,R034,9390.0
2020-07-18,168TH STREET & BROADWAY       ,R035,36807.0
2020-07-18,DYCKMAN STREET                ,R036,13791.0
2020-07-18,207TH STREET                  ,R037,6399.0
2020-07-18,215TH STREET                  ,R038,1908.0
2020-07-18,225TH STREET                  ,R039,8001.0
2020-07-18,231ST STREET                  ,R040,14351.0
2020-07-18,BOWLING GREEN & BATTERY PL    ,R041,16565.0
2020-07-18,BOWLING GREEN & BROADWAY      ,R042,4213.0
2020-07-18,WALL STREET                   ,R043,13468.0
2020-07-18,BROOKLYN BRIDGE               ,R044,18271.0
2020-07-18,42ND STREET & GRAND CENTRAL   ,R045,1.0
2020-07-18,42ND STREET & GRAND CENTRAL   ,R046,57447.0
2020-07-18,42ND STREET & GRAND CENTRAL   ,R047,27131.0
2020-07-18,42ND STREET & 3RD AVENUE      ,R048,10533.0
2020-07-18,51ST STREET & LEXINGTON AVE   ,R049,12340.0
2020-07-18,59TH STREET & LEXINGTON AVE   ,R050,19484.0
2020-07-18,59TH STREET & LEXINGTON AVE   ,R051,40222.0
2020-07-18,WOODLAWN ROAD                 ,R052,11843.0
2020-07-18,149TH STREET & 3RD AVENUE     ,R053,34250.0
2020-07-18,FIFTH AVENUE & 42ND STREET    ,R054,12541.0
2020-07-18,MAIN STREET                   ,R055,87746.0
2020-07-18,NEVINS STREET                 ,R056,12535.0
2020-07-18,BARCLAYS CENTER               ,R057,51877.0
2020-07-18,BERGEN STREET                 ,R058,3384.0
2020-07-18,GRAND ARMY PLAZA              ,R059,6955.0
2020-07-18,EASTERN PARKWAY               ,R060,3736.0
2020-07-18,NOSTRAND AVENUE               ,R061,5010.0
2020-07-18,UTICA AVENUE                  ,R062,46604.0
2020-07-18,SUTTER AVENUE                 ,R063,12690.0
2020-07-18,SARATOGA AVENUE               ,R064,10674.0
2020-07-18,ROCKAWAY AVENUE               ,R065,8858.0
2020-07-18,JUNIUS STREET                 ,R066,3709.0
2020-07-18,PENNSYLVANIA AVENUE           ,R067,7695.0
2020-07-18,VAN SICLEN AVENUE             ,R068,5304.0
2020-07-18,NEW LOTS AVENUE               ,R069,10449.0
2020-07-18,ST GEORGE TERMINAL            ,R070,8665.0
2020-07-18,34TH STREET - HUDSON YARDS    ,R072,16640.0
2020-07-18,FIFTH AVENUE & 60TH STREET    ,R079,17396.0
2020-07-18,57TH STREET & 7TH AVENUE      ,R080,29626.0
2020-07-18,49TH STREET & 7TH AVENUE      ,R081,13798.0
2020-07-18,28TH STREET & BROADWAY        ,R082,9404.0
2020-07-18,23RD STREET & 5TH AVENUE      ,R083,15623.0
2020-07-18,59TH STREET/COLUMBUS CIRCLE   ,R084,66336.0
2020-07-18,8TH STREET & BROADWAY         ,R085,10290.0
2020-07-18,PRINCE STREET & BROADWAY      ,R086,9792.0
2020-07-18,CITY HALL                     ,R087,3955.0
2020-07-18,CORTLANDT STREET              ,R088,12413.0
2020-07-18,JAY ST-METROTECH              ,R089,3129.0
2020-07-18,39TH AVENUE & 31ST STREET     ,R090,3612.0
2020-07-18,36TH AVENUE & 31ST STREET     ,R091,9355.0
2020-07-18,BROADWAY & 31ST STREET        ,R092,15699.0
2020-07-18,30TH AVENUE & 31ST STREET     ,R093,19757.0
2020-07-18,ASTORIA BLVD & 31ST STREET    ,R094,11631.0
2020-07-18,DITMARS BLVD & 31ST STREET    ,R095,21552.0
2020-07-18,82ND STREET-JACKSON HEIGHTS   ,R096,27415.0
2020-07-18,JUNCTION BLVD-ROOSEVELT AVE   ,R097,52505.0
2020-07-18,CHURCH AVENUE                 ,R098,28991.0
2020-07-18,DEKALB AVENUE                 ,R099,26045.0
2020-07-18,METROPOLITAN AVENUE           ,R100,6261.0
2020-07-18,145TH STREET                  ,R101,32976.0
2020-07-18,125TH STREET                  ,R102,42547.0
2020-07-18,BROADWAY-EAST NEW YORK        ,R103,16190.0
2020-07-18,167TH ST-GRAND CONCOURSE      ,R104,18075.0
2020-07-18,14TH STREET & 7TH AVENUE      ,R105,22585.0
2020-07-18,CASTLE HILL AVENUE            ,R106,11865.0
2020-07-18,WESTCHESTER SQUARE            ,R107,9505.0
2020-07-18,BOROUGH HALL - COURT STREET   ,R108,29434.0
2020-07-18,CHURCH AVENUE & NOSTRAND AV   ,R109,15792.0
2020-07-18,FLATBUSH AVE & NOSTRAND AV    ,R110,26785.0
2020-07-18,23RD STREET & 8TH AVENUE      ,R111,21627.0
