station_code,station,GTFS_stop_id,C/A,line_name,NTACode,NTAName,geometry,lat,long,unit
A002R051,59 ST,R11,A002,NQR456W,MN40,Upper East Side-Carnegie Hill,POINT (-73.967258 40.76266),40.76266,-73.967258,R051
A006R079,5 AV/59 ST,R13,A006,NQRW,MN99,park-cemetery-etc-Manhattan,POINT (-73.973347 40.764811),40.764811,-73.973347,R079
A007R079,5 AV/59 ST,R13,A007,NQRW,MN99,park-cemetery-etc-Manhattan,POINT (-73.973347 40.764811),40.764811,-73.973347,R079
A010R080,57 ST-7 AV,R14,A010,NQRW,MN17,Midtown-Midtown South,POINT (-73.98065799999999 40.764664),40.764664,-73.98065799999999,R080
A011R080,57 ST-7 AV,R14,A011,NQRW,MN17,Midtown-Midtown South,POINT (-73.98065799999999 40.764664),40.764664,-73.98065799999999,R080
A013R081,49 ST,R15,A013,NQRW,MN17,Midtown-Midtown South,POINT (-73.984139 40.759901),40.759901,-73.984139,R081
A014R081,49 ST,R15,A014,NQRW,MN17,Midtown-Midtown South,POINT (-73.984139 40.759901),40.759901,-73.984139,R081
A015R081,49 ST,R15,A015,NQRW,MN17,Midtown-Midtown South,POINT (-73.984139 40.759901),40.759901,-73.984139,R081
A016R081,49 ST,R15,A016,NQRW,MN17,Midtown-Midtown South,POINT (-73.984139 40.759901),40.759901,-73.984139,R081
A021R032,TIMES SQ-42 ST,R16,A021,ACENQRS1237W,MN17,Midtown-Midtown South,POINT (-73.986754 40.754672),40.754672,-73.986754,R032
A022R022,34 ST-HERALD SQ,D17,A022,BDFMNQRW,MN17,Midtown-Midtown South,POINT (-73.98782299999999 40.749719),40.749719,-73.98782299999999,R022
A025R023,34 ST-HERALD SQ,D17,A025,BDFMNQRW,MN17,Midtown-Midtown South,POINT (-73.98782299999999 40.749719),40.749719,-73.98782299999999,R023
A027R082,28 ST,R18,A027,NRW,MN17,Midtown-Midtown South,POINT (-73.988691 40.745494),40.745494,-73.988691,R082
A029R082,28 ST,R18,A029,NRW,MN17,Midtown-Midtown South,POINT (-73.988691 40.745494),40.745494,-73.988691,R082
A030R083,23 ST,R19,A030,NRW,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.98934399999999 40.741303),40.741303,-73.98934399999999,R083
A031R083,23 ST,R19,A031,NRW,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.98934399999999 40.741303),40.741303,-73.98934399999999,R083
A033R170,14 ST-UNION SQ,L03,A033,LNQR456W,MN23,West Village,POINT (-73.99073 40.734789),40.734789,-73.99073,R170
A034R170,14 ST-UNION SQ,L03,A034,LNQR456W,MN23,West Village,POINT (-73.99073 40.734789),40.734789,-73.99073,R170
A035R170,14 ST-UNION SQ,L03,A035,LNQR456W,MN23,West Village,POINT (-73.99073 40.734789),40.734789,-73.99073,R170
A037R170,14 ST-UNION SQ,L03,A037,LNQR456W,MN23,West Village,POINT (-73.99073 40.734789),40.734789,-73.99073,R170
A038R085,8 ST-NYU,R21,A038,NRW,MN23,West Village,POINT (-73.99262900000001 40.730328),40.730328,-73.99262900000001,R085
A039R085,8 ST-NYU,R21,A039,NRW,MN23,West Village,POINT (-73.99262900000001 40.730328),40.730328,-73.99262900000001,R085
