GEO_ID,NAME,DP03_0001E,DP03_0002PE,DP03_0007PE,DP03_0013PE,DP03_0015PE,DP03_0017PE,DP03_0021PE,DP03_0025E,DP03_0027PE,DP03_0028PE,DP03_0029PE,DP03_0031PE,DP03_0041PE,DP03_0042PE,DP03_0043PE,DP03_0045PE,DP03_0062E,DP03_0063E,DP03_0074PE,DP03_0088E,DP03_0092E,DP03_0093E,DP03_0094E,DP03_0096PE,DP03_0097PE,DP03_0098PE,DP03_0099E,DP03_0099PE,DP03_0108PE,DP03_0113PE,DP03_0118PE,tract_id
1400000US36005000100,"Census Tract 1, Bronx County, New York",7080,0.0,100.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2247,11367,15000,-,-,-,-,0,-,-,-,-,000100
1400000US36005000200,"Census Tract 2, Bronx County, New York",3684,50.8,49.2,32.1,88.0,77.6,34.2,41.4,38.0,14.6,16.0,25.0,11.0,30.0,3.0,3.8,59914,72979,20.7,22538,35448,46466,34479,91.9,48.7,58.5,368,8.1,11.5,3.1,17.1,000200
1400000US36005000400,"Census Tract 4, Bronx County, New York",4689,65.1,34.9,58.1,75.7,90.0,41.5,52.5,42.9,18.2,21.1,10.9,12.6,33.4,7.2,9.1,82073,94723,13.5,35025,46361,61250,57813,94.3,78.5,26.7,322,5.7,5.6,17.7,15.9,000400
1400000US36005001600,"Census Tract 16, Bronx County, New York",4598,53.9,46.1,48.2,72.8,72.5,48.1,45.3,28.9,31.9,24.1,13.4,7.2,42.8,7.8,3.2,35802,59663,32.7,22649,30505,41571,34058,90.7,56.3,48.5,530,9.3,15.5,20.3,9.7,001600
1400000US36005001900,"Census Tract 19, Bronx County, New York",2066,70.6,29.4,55.0,75.7,69.5,71.2,46.1,29.9,25.2,20.9,17.9,11.1,24.3,11.1,9.4,42075,54415,28.1,20756,30696,38250,41715,84.3,36.2,54.1,432,15.7,22.3,27.1,12.9,001900
1400000US36005002000,"Census Tract 20, Bronx County, New York",7282,45.9,54.1,34.5,54.3,56.5,58.6,41.8,14.4,34.1,18.4,26.7,2.6,40.6,10.3,3.8,24447,43280,46.0,15534,29860,41812,30417,91.1,39.0,67.3,842,8.9,13.8,16.0,12.6,002000
1400000US36005002300,"Census Tract 23, Bronx County, New York",3615,45.3,54.7,34.6,59.4,57.7,78.0,41.6,17.0,41.5,29.9,6.7,11.9,29.9,10.2,2.5,18032,25869,66.7,11864,19014,31330,23456,93.9,27.2,75.8,281,6.1,11.6,11.6,4.1,002300
1400000US36005002400,"Census Tract 24, Bronx County, New York",131,100.0,0.0,100.0,-,100.0,100.0,N,71.8,28.2,0.0,0.0,0.0,42.7,28.2,0.0,-,N,11.6,54873,61152,-,-,77.9,29.7,48.3,38,22.1,29.0,-,-,002400
1400000US36005002500,"Census Tract 25, Bronx County, New York",4338,59.4,40.6,48.5,68.1,55.0,69.4,41.3,17.3,41.4,16.1,16.9,6.2,25.3,25.6,0.9,24530,38060,54.2,13551,22824,28337,31296,82.0,26.3,60.0,1060,18.0,30.1,3.3,23.3,002500
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",1943,54.5,45.5,43.7,75.8,72.0,62.6,43.0,16.6,34.1,19.3,21.8,7.7,30.8,9.5,1.3,20599,27448,60.4,10650,20768,29974,26563,89.1,24.8,69.6,314,10.9,18.8,0.0,19.1,002701
