Station,Line Name,Date,Daily Entries,Daily Exits
,,,,
1 AV,L,01/01/2020,5801,7285
1 AV,L,01/02/2020,15135,17646
1 AV,L,01/03/2020,15611,18266
1 AV,L,01/04/2020,6015,7119
1 AV,L,01/05/2020,4724,5530
1 AV,L,01/06/2020,16263,18641
1 AV,L,01/07/2020,16612,19372
1 AV,L,01/08/2020,17206,20275
1 AV,L,01/09/2020,17463,20072
1 AV,L,01/10/2020,17642,20489
1 AV,L,01/11/2020,6971,8220
1 AV,L,01/12/2020,5004,5980
1 AV,L,01/13/2020,16217,18969
1 AV,L,01/14/2020,16978,19869
1 AV,L,01/15/2020,17428,19854
1 AV,L,01/16/2020,17668,20252
1 AV,L,01/17/2020,18247,21413
1 AV,L,01/18/2020,5209,6061
1 AV,L,01/19/2020,4281,5088
1 AV,L,01/20/2020,10184,13012
1 AV,L,01/21/2020,16832,19233
1 AV,L,01/22/2020,16679,18867
1 AV,L,01/23/2020,17100,18881
1 AV,L,01/24/2020,16801,20005
1 AV,L,01/25/2020,6000,7099
1 AV,L,01/26/2020,4970,5711
1 AV,L,01/27/2020,16013,18586
1 AV,L,01/28/2020,17235,19627
1 AV,L,01/29/2020,17554,19791
1 AV,L,01/30/2020,17644,20078
1 AV,L,01/31/2020,18149,20966
1 AV,L,02/01/2020,6419,7514
1 AV,L,02/02/2020,5210,6050
1 AV,L,02/03/2020,16598,19186
1 AV,L,02/04/2020,17577,19705
1 AV,L,02/05/2020,17866,20020
1 AV,L,02/06/2020,17926,20234
1 AV,L,02/07/2020,18438,21438
1 AV,L,02/08/2020,6572,7750
1 AV,L,02/09/2020,4995,5902
1 AV,L,02/10/2020,17261,20095
1 AV,L,02/11/2020,17795,20352
1 AV,L,02/12/2020,18058,19174
1 AV,L,02/13/2020,18374,20769
1 AV,L,02/14/2020,19046,22739
1 AV,L,02/15/2020,4812,6539
1 AV,L,02/16/2020,3880,5029
1 AV,L,02/17/2020,5801,6899
1 AV,L,02/18/2020,13669,17897
1 AV,L,02/19/2020,13970,17650
1 AV,L,02/20/2020,14386,18485
1 AV,L,02/21/2020,14199,19066
1 AV,L,02/22/2020,6015,7832
1 AV,L,02/23/2020,4273,5846
1 AV,L,02/24/2020,14697,20436
1 AV,L,02/25/2020,15553,21402
1 AV,L,02/26/2020,16167,20627
1 AV,L,02/27/2020,16453,22173
1 AV,L,02/28/2020,16985,22799
1 AV,L,02/29/2020,6000,8005
1 AV,L,03/01/2020,4234,5713
1 AV,L,03/02/2020,14854,19593
1 AV,L,03/03/2020,15527,20962
1 AV,L,03/04/2020,14331,18055
1 AV,L,03/05/2020,15735,20578
1 AV,L,03/06/2020,15950,22519
1 AV,L,03/07/2020,5764,8012
1 AV,L,03/08/2020,3431,4662
1 AV,L,03/09/2020,13073,16765
1 AV,L,03/10/2020,13054,16935
1 AV,L,03/11/2020,12423,16453
1 AV,L,03/12/2020,11433,15544
1 AV,L,03/13/2020,9415,13228
1 AV,L,03/14/2020,2367,3796
1 AV,L,03/15/2020,1635,2574
