station_code,station,line_name,C/A,unit,datetime
A002R051,59 ST,NQR456W,A002,R051,2850
A006R079,5 AV/59 ST,NQRW,A006,R079,2854
A007R079,5 AV/59 ST,NQRW,A007,R079,2854
A010R080,57 ST-7 AV,NQRW,A010,R080,2850
A011R080,57 ST-7 AV,NQRW,A011,R080,2850
A013R081,49 ST,NQRW,A013,R081,2850
A014R081,49 ST,NQRW,A014,R081,725
A015R081,49 ST,NQRW,A015,R081,2850
A016R081,49 ST,NQRW,A016,R081,2850
A021R032,TIMES SQ-42 ST,ACENQRS1237W,A021,R032,2850
A022R022,34 ST-HERALD SQ,BDFMNQRW,A022,R022,2850
A025R023,34 ST-HERALD SQ,BDFMNQRW,A025,R023,2850
A027R082,28 ST,NRW,A027,R082,2850
A029R082,28 ST,NRW,A029,R082,2850
A030R083,23 ST,NRW,A030,R083,2850
A031R083,23 ST,NRW,A031,R083,2850
A033R170,14 ST-UNION SQ,LNQR456W,A033,R170,2854
A034R170,14 ST-UNION SQ,LNQR456W,A034,R170,2854
A035R170,14 ST-UNION SQ,LNQR456W,A035,R170,2854
A037R170,14 ST-UNION SQ,LNQR456W,A037,R170,2854
A038R085,8 ST-NYU,NRW,A038,R085,2850
A039R085,8 ST-NYU,NRW,A039,R085,2850
A041R086,PRINCE ST,NRW,A041,R086,2850
A042R086,PRINCE ST,NRW,A042,R086,2850
A043R462,CANAL ST,JNQRZ6W,A043,R462,2854
A046R463,CANAL ST,JNQRZ6W,A046,R463,2854
A047R087,CITY HALL,NRW,A047,R087,2850
A049R088,CORTLANDT ST,RNW,A049,R088,2854
A050R088,CORTLANDT ST,RNW,A050,R088,2854
A052R088,CORTLANDT ST,RNW,A052,R088,2854
A053R088,CORTLANDT ST,RNW,A053,R088,2854
A054R227,RECTOR ST,NRW,A054,R227,2850
A055R227,RECTOR ST,NRW,A055,R227,2850
A058R001,WHITEHALL S-FRY,R1W,A058,R001,2854
A060R001,WHITEHALL S-FRY,R1W,A060,R001,2854
A061R142,DELANCEY/ESSEX,FJMZ,A061,R142,2854
A064R311,BOWERY,JZ,A064,R311,2850
A066R118,CANAL ST,JNQRZ6W,A066,R118,2854
A069R044,CHAMBERS ST,JZ456,A069,R044,2850
A071R044,CHAMBERS ST,JZ456,A071,R044,2850
A077R028,FULTON ST,ACJZ2345,A077,R028,2854
A081R028,FULTON ST,ACJZ2345,A081,R028,2854
A082R028,FULTON ST,ACJZ2345,A082,R028,2854
A083R125,BROAD ST,JZ,A083,R125,2854
A084R125,BROAD ST,JZ,A084,R125,2854
A085R125,BROAD ST,JZ,A085,R125,2854
B004R171,7 AV,BQ,B004,R171,2854
B009R411,PARK PLACE,S,B009,R411,2854
B010R412,BOTANIC GARDEN,S2345,B010,R412,2854
B012R196,PROSPECT PARK,BQS,B012,R196,2850
B013R196,PROSPECT PARK,BQS,B013,R196,2850
B014R148,PARKSIDE AV,BQ,B014,R148,2854
B015R098,CHURCH AV,BQ,B015,R098,2850
B016R098,CHURCH AV,BQ,B016,R098,2850
B017R262,BEVERLEY ROAD,BQ,B017,R262,2850
B018R184,CORTELYOU RD,BQ,B018,R184,2850
B019R149,NEWKIRK PLAZA,BQ,B019,R149,2854
B020R263,AVENUE H,BQ,B020,R263,2850
B021R228,AVENUE J,BQ,B021,R228,2850
B022R229,AVENUE M,BQ,B022,R229,2850
B023R211,KINGS HWY,BQ,B023,R211,2850
B024AR211,KINGS HWY,BQ,B024A,R211,2850
B024R211,KINGS HWY,BQ,B024,R211,2850
B025R150,AVENUE U,BQ,B025,R150,2854
B026R230,NECK RD,BQ,B026,R230,2850
B027R136,SHEEPSHEAD BAY,BQ,B027,R136,2854
B028R136,SHEEPSHEAD BAY,BQ,B028,R136,2854
B029R172,BRIGHTON BEACH,BQ,B029,R172,2850
B031R172,BRIGHTON BEACH,BQ,B031,R172,2850
B032R264,OCEAN PKWY,Q,B032,R264,2850
B034R264,OCEAN PKWY,Q,B034,R264,2850
C001R108,BOROUGH HALL,R2345,C001,R108,2850
C003R089,JAY ST-METROTEC,R,C003,R089,2850
C004R089,JAY ST-METROTEC,R,C004,R089,2850
C008R099,DEKALB AV,BDNQR,C008,R099,2850
C009R057,ATL AV-BARCLAY,BDNQR2345,C009,R057,2850
C010R231,UNION ST,R,C010,R231,2850
C011R231,UNION ST,R,C011,R231,2850
C012R258,4AV-9 ST,DFGMNR,C012,R258,2850
C014R246,PROSPECT AV,R,C014,R246,2850
C015R246,PROSPECT AV,R,C015,R246,2850
C016R278,25 ST,R,C016,R278,2850
C017R455,25 ST,R,C017,R455,2850
C018R197,36 ST,DNR,C018,R197,2854
C019R232,45 ST,R,C019,R232,2850
C020R233,53 ST,R,C020,R233,2850
C021R212,59 ST,NRW,C021,R212,221
C022R212,59 ST,NRW,C022,R212,2850
C023R213,BAY RIDGE AV,R,C023,R213,2850
C024R214,77 ST,R,C024,R214,2850
C025R215,86 ST,R,C025,R215,2850
C026R215,86 ST,R,C026,R215,2850
C027R216,BAY RIDGE-95 ST,R,C027,R216,2850
C028R216,BAY RIDGE-95 ST,R,C028,R216,2850
D001R390,8 AV,N,D001,R390,2854
D002R390,8 AV,N,D002,R390,2854
D003R391,FT HAMILTON PKY,N,D003,R391,2854
D004R391,FT HAMILTON PKY,N,D004,R391,2854
D005R398,NEW UTRECHT AV,ND,D005,R398,2854
D006R398,NEW UTRECHT AV,ND,D006,R398,2854
D008R392,18 AV,N,D008,R392,2854
D009R393,20 AV,N,D009,R393,2854
D010R394,BAY PKWY,N,D010,R394,2854
D011R394,BAY PKWY,N,D011,R394,2854
D012R395,KINGS HWY,N,D012,R395,2854
D015R396,AVENUE U,N,D015,R396,2854
D016R397,86 ST,N,D016,R397,2854
E001R368,9 AV,D,E001,R368,2854
E003R369,FT HAMILTON PKY,D,E003,R369,2854
E004R234,50 ST,D,E004,R234,2850
E005R247,55 ST,D,E005,R247,2850
E009R370,71 ST,D,E009,R370,2850
E011R371,79 ST,D,E011,R371,2850
E012R372,18 AV,D,E012,R372,2850
E013R373,20 AV,D,E013,R373,2850
E014R374,BAY PKWY,D,E014,R374,2854
E015R399,25 AV,D,E015,R399,2854
E016R400,BAY 50 ST,D,E016,R400,2854
G001R151,CONEY IS-STILLW,DFNQ,G001,R151,2854
G009R151,CONEY IS-STILLW,DFNQ,G009,R151,2854
G011R312,W 8 ST-AQUARIUM,FQ,G011,R312,2850
G015R312,W 8 ST-AQUARIUM,FQ,G015,R312,2850
H001R175,8 AV,ACEL,H001,R175,2854
H003R163,6 AV,FLM123,H003,R163,2850
H005R330,3 AV,L,H005,R330,2850
H006R330,3 AV,L,H006,R330,2850
H007AR248,1 AV,L,H007A,R248,2850
H007R248,1 AV,L,H007,R248,1685
H008R248,1 AV,L,H008,R248,81
H009R235,BEDFORD AV,L,H009,R235,2850
H012R268,LORIMER ST,LG,H012,R268,2854
H013R249,GRAHAM AV,L,H013,R249,2850
H014R249,GRAHAM AV,L,H014,R249,2850
H015R250,GRAND ST,L,H015,R250,2850
H016R250,GRAND ST,L,H016,R250,2850
H017R265,MONTROSE AV,L,H017,R265,2850
H019R294,MORGAN AV,L,H019,R294,2850
H022R279,JEFFERSON ST,L,H022,R279,2850
H023R236,DEKALB AV,L,H023,R236,2850
H026R137,MYRTLE-WYCKOFF,LM,H026,R137,2850
H027R137,MYRTLE-WYCKOFF,LM,H027,R137,2850
H028R266,HALSEY ST,L,H028,R266,2850
H030R266,HALSEY ST,L,H030,R266,2850
H032R295,WILSON AV,L,H032,R295,2850
H033R313,BUSHWICK AV,L,H033,R313,2850
H035R348,ATLANTIC AV,L,H035,R348,2850
H037R349,SUTTER AV,L,H037,R349,2854
H038R350,LIVONIA AV,L,H038,R350,2854
H039R375,NEW LOTS,L,H039,R375,2854
H040R376,EAST 105 ST,L,H040,R376,2854
H041R152,CANARSIE-ROCKAW,L,H041,R152,2854
J001R460,MARCY AV,JMZ,J001,R460,2854
J002R460,MARCY AV,JMZ,J002,R460,2854
J003R352,HEWES ST,JM,J003,R352,2854
J005R353,LORIMER ST,JM,J005,R353,2854
J007R377,FLUSHING AV,JM,J007,R377,2854
J009R378,MYRTLE AV,JMZ,J009,R378,2854
J012R379,KOSCIUSZKO ST,J,J012,R379,2854
J013R380,GATES AV,JZ,J013,R380,2854
J016R381,HALSEY ST,J,J016,R381,2854
J017R432,CHAUNCEY ST,JZ,J017,R432,2854
J020R433,ALABAMA AV,J,J020,R433,2854
J021R434,VAN SICLEN AV,JZ,J021,R434,2854
J022R435,CLEVELAND ST,J,J022,R435,2854
J023R436,NORWOOD AV,JZ,J023,R436,2854
J024R437,CRESCENT ST,JZ,J024,R437,2854
J025R003,CYPRESS HILLS,J,J025,R003,2850
J028R004,75 ST-ELDERTS,JZ,J028,R004,2850
J030R005,85 ST-FOREST PK,J,J030,R005,2850
J031R006,WOODHAVEN BLVD,JZ,J031,R006,2850
J032R006,WOODHAVEN BLVD,JZ,J032,R006,2850
J034R007,104 ST,JZ,J034,R007,2850
J035R008,111 ST,J,J035,R008,2850
