station_code,station,GTFS_stop_id,C/A,line_name,ct2010,ntaname,ctlabel,geometry,lat,long
A002R051,59 ST,R11,A002,NQR456W,011402,Upper East Side-Carnegie Hill,114.02,POINT (-73.967258 40.76266),40.76266,-73.967258
A006R079,5 AV/59 ST,R13,A006,NQRW,014300,park-cemetery-etc-Manhattan,143,POINT (-73.973347 40.764811),40.764811,-73.973347
A007R079,5 AV/59 ST,R13,A007,NQRW,014300,park-cemetery-etc-Manhattan,143,POINT (-73.973347 40.764811),40.764811,-73.973347
A010R080,57 ST-7 AV,R14,A010,NQRW,013700,Midtown-Midtown South,137,POINT (-73.98065799999999 40.764664),40.764664,-73.98065799999999
A011R080,57 ST-7 AV,R14,A011,NQRW,013700,Midtown-Midtown South,137,POINT (-73.98065799999999 40.764664),40.764664,-73.98065799999999
A013R081,49 ST,R15,A013,NQRW,012500,Midtown-Midtown South,125,POINT (-73.984139 40.759901),40.759901,-73.984139
A014R081,49 ST,R15,A014,NQRW,012500,Midtown-Midtown South,125,POINT (-73.984139 40.759901),40.759901,-73.984139
A015R081,49 ST,R15,A015,NQRW,012500,Midtown-Midtown South,125,POINT (-73.984139 40.759901),40.759901,-73.984139
A016R081,49 ST,R15,A016,NQRW,012500,Midtown-Midtown South,125,POINT (-73.984139 40.759901),40.759901,-73.984139
A021R032,TIMES SQ-42 ST,R16,A021,ACENQRS1237W,011300,Midtown-Midtown South,113,POINT (-73.986754 40.754672),40.754672,-73.986754
A022R022,34 ST-HERALD SQ,D17,A022,BDFMNQRW,010100,Midtown-Midtown South,101,POINT (-73.98782299999999 40.749719),40.749719,-73.98782299999999
A025R023,34 ST-HERALD SQ,D17,A025,BDFMNQRW,010100,Midtown-Midtown South,101,POINT (-73.98782299999999 40.749719),40.749719,-73.98782299999999
A027R082,28 ST,R18,A027,NRW,007600,Midtown-Midtown South,76,POINT (-73.988691 40.745494),40.745494,-73.988691
A029R082,28 ST,R18,A029,NRW,007600,Midtown-Midtown South,76,POINT (-73.988691 40.745494),40.745494,-73.988691
A030R083,23 ST,R19,A030,NRW,005600,Hudson Yards-Chelsea-Flatiron-Union Square,56,POINT (-73.98934399999999 40.741303),40.741303,-73.98934399999999
A031R083,23 ST,R19,A031,NRW,005600,Hudson Yards-Chelsea-Flatiron-Union Square,56,POINT (-73.98934399999999 40.741303),40.741303,-73.98934399999999
A033R170,14 ST-UNION SQ,L03,A033,LNQR456W,006100,West Village,61,POINT (-73.99073 40.734789),40.734789,-73.99073
A034R170,14 ST-UNION SQ,L03,A034,LNQR456W,006100,West Village,61,POINT (-73.99073 40.734789),40.734789,-73.99073
A035R170,14 ST-UNION SQ,L03,A035,LNQR456W,006100,West Village,61,POINT (-73.99073 40.734789),40.734789,-73.99073
A037R170,14 ST-UNION SQ,L03,A037,LNQR456W,006100,West Village,61,POINT (-73.99073 40.734789),40.734789,-73.99073
A038R085,8 ST-NYU,R21,A038,NRW,005700,West Village,57,POINT (-73.99262900000001 40.730328),40.730328,-73.99262900000001
A039R085,8 ST-NYU,R21,A039,NRW,005700,West Village,57,POINT (-73.99262900000001 40.730328),40.730328,-73.99262900000001
A041R086,PRINCE ST,R22,A041,NRW,004300,SoHo-TriBeCa-Civic Center-Little Italy,43,POINT (-73.997702 40.724329),40.724329,-73.997702
A042R086,PRINCE ST,R22,A042,NRW,004300,SoHo-TriBeCa-Civic Center-Little Italy,43,POINT (-73.997702 40.724329),40.724329,-73.997702
A043R462,CANAL ST,Q01,A043,JNQRZ6W,004500,SoHo-TriBeCa-Civic Center-Little Italy,45,POINT (-74.00046 40.718383),40.718383,-74.00046
A046R463,CANAL ST,Q01,A046,JNQRZ6W,004500,SoHo-TriBeCa-Civic Center-Little Italy,45,POINT (-74.00046 40.718383),40.718383,-74.00046
A047R087,CITY HALL,R24,A047,NRW,003100,SoHo-TriBeCa-Civic Center-Little Italy,31,POINT (-74.006978 40.713282),40.713282,-74.006978
A049R088,CORTLANDT ST,R25,A049,RNW,001300,Battery Park City-Lower Manhattan,13,POINT (-74.01102900000001 40.710668),40.710668,-74.01102900000001
A050R088,CORTLANDT ST,R25,A050,RNW,001300,Battery Park City-Lower Manhattan,13,POINT (-74.01102900000001 40.710668),40.710668,-74.01102900000001
A052R088,CORTLANDT ST,R25,A052,RNW,001300,Battery Park City-Lower Manhattan,13,POINT (-74.01102900000001 40.710668),40.710668,-74.01102900000001
A053R088,CORTLANDT ST,R25,A053,RNW,001300,Battery Park City-Lower Manhattan,13,POINT (-74.01102900000001 40.710668),40.710668,-74.01102900000001
A054R227,RECTOR ST,R26,A054,NRW,001300,Battery Park City-Lower Manhattan,13,POINT (-74.01334200000001 40.70722),40.70722,-74.01334200000001
A055R227,RECTOR ST,R26,A055,NRW,001300,Battery Park City-Lower Manhattan,13,POINT (-74.01334200000001 40.70722),40.70722,-74.01334200000001
A058R001,WHITEHALL S-FRY,R27,A058,R1W,000900,Battery Park City-Lower Manhattan,9,POINT (-74.01299399999999 40.703087),40.703087,-74.01299399999999
A060R001,WHITEHALL S-FRY,R27,A060,R1W,000900,Battery Park City-Lower Manhattan,9,POINT (-74.01299399999999 40.703087),40.703087,-74.01299399999999
A061R142,DELANCEY/ESSEX,F15,A061,FJMZ,001800,Chinatown,18,POINT (-73.988114 40.718611),40.718610999999996,-73.988114
A064R311,BOWERY,M19,A064,JZ,001800,Chinatown,18,POINT (-73.993915 40.72028),40.720279999999995,-73.993915
A066R118,CANAL ST,Q01,A066,JNQRZ6W,004500,SoHo-TriBeCa-Civic Center-Little Italy,45,POINT (-74.00046 40.718383),40.718383,-74.00046
A069R044,CHAMBERS ST,M21,A069,JZ456,002900,Chinatown,29,POINT (-74.003401 40.713243),40.713243,-74.003401
A071R044,CHAMBERS ST,M21,A071,JZ456,002900,Chinatown,29,POINT (-74.003401 40.713243),40.713243,-74.003401
A077R028,FULTON ST,A38,A077,ACJZ2345,001501,Battery Park City-Lower Manhattan,15.01,POINT (-74.00769100000001 40.71019699999999),40.710196999999994,-74.00769100000001
A081R028,FULTON ST,A38,A081,ACJZ2345,001501,Battery Park City-Lower Manhattan,15.01,POINT (-74.00769100000001 40.71019699999999),40.710196999999994,-74.00769100000001
A082R028,FULTON ST,A38,A082,ACJZ2345,001501,Battery Park City-Lower Manhattan,15.01,POINT (-74.00769100000001 40.71019699999999),40.710196999999994,-74.00769100000001
A083R125,BROAD ST,M23,A083,JZ,000700,Battery Park City-Lower Manhattan,7,POINT (-74.01105600000001 40.706476),40.706476,-74.01105600000001
A084R125,BROAD ST,M23,A084,JZ,000700,Battery Park City-Lower Manhattan,7,POINT (-74.01105600000001 40.706476),40.706476,-74.01105600000001
A085R125,BROAD ST,M23,A085,JZ,000700,Battery Park City-Lower Manhattan,7,POINT (-74.01105600000001 40.706476),40.706476,-74.01105600000001
B004R171,7 AV,D25,B004,BQ,016100,Prospect Heights,161,POINT (-73.97236700000001 40.67705),40.67705,-73.972367
B009R411,PARK PLACE,S03,B009,S,030500,Crown Heights North,305,POINT (-73.957624 40.674772),40.674772,-73.957624
B010R412,BOTANIC GARDEN,S04,B010,S2345,021300,Crown Heights South,213,POINT (-73.959245 40.670343),40.670343,-73.959245
B012R196,PROSPECT PARK,D26,B012,BQS,032700,Prospect Lefferts Gardens-Wingate,327,POINT (-73.96224599999999 40.661614),40.661614,-73.962246
B013R196,PROSPECT PARK,D26,B013,BQS,032700,Prospect Lefferts Gardens-Wingate,327,POINT (-73.96224599999999 40.661614),40.661614,-73.962246
